ITEM,FECHA,EVENTO,MUNICIPIO,Familias Damnificadas/ Afectadas,Viviendas Destruidas,Viviendas Averiadas,Acueducto destruidos,Vias Destruidas,Puentes Obstruidos,Establecimientos  Educativos,Afectacion Cultivos Has,Alertas,Albergues,Desaparecidos,Fallecidos,OBSERVACIONES
1,01/02/2023 12:00:00 AM,MOVIMIENTO EN MASA,LEBRIJA,0,0,0,0,1,0,0,0,N/A,N/A,0,0,"El administrados vial Ruta del cacao reporta deslizamientos en el sector de Brisas en el PR 44 + 700 causando cierre total de la vía entre Bucaramanga y Barrancabermeja, lo anterior a causa de las fuertes lluvias, durante 3 horas se trabajó con maquinaria amarilla y se rehabilitó el paso."
2,01/02/2023 12:00:00 AM,MOVIMIENTO EN MASA,FLORIDABLANCA,0,0,0,0,1,0,0,0,N/A,N/A,0,0,"El administrador vial Autovia Bucaramanga – Pamplona, reporta deslizamientos en el sector la Corcova, en el PR 23, gracias al apoyo de bomberos de Floridablanca, PONALSAR y el ejercito, se logró el rescate con vida de dos trabajadores que habían quedado atrapados en los escombros"
3,01/25/2023 12:00:00 AM,HELADAS,TONA,0,0,0,0,0,0,0,25,N/A,N/A,0,0,El CMGRD reporta bajas temperaturas en el corregimiento de Berlín con presencia de heladas que afecta cultivos de papa y cebolla junca. Se adelantan los EDAN.
4,01/25/2023 12:00:00 AM,HELADAS,CERRITO,0,0,0,0,0,0,0,20,N/A,N/A,0,0,"El CMGRD reporta bajas temperaturas en las veredas Boyagá y el Mortiño con presencia de heladas que afecta cultivos de papa, ajo y hortalizas. Se adelantan los EDAN."
5,01/28/2023 12:00:00 AM,INCENDIO FORESTAL,EL PLAYON,0,0,0,0,0,0,0,10,N/A,N/A,0,0,"El CMGRD reporta la atención de un incendio forestal en la vereda Cachiricito bajo, atendido por la defensa civil y la comunidad, afectación de 10 hectáreas de bosque nativo, causas desconocidas, estado liquidado."
6,01/28/2023 12:00:00 AM,INCENDIO FORESTAL,CURITI,0,0,0,0,0,0,0,5,N/A,N/A,0,0,"El CMGRD reporta la atención de un incendio forestal en la vereda la Mesa, atendido por la defensa civil y la comunidad, afectación de 05 hectáreas de pastizales y bosque nativo, causas desconocidas, estado liquidado."
7,01/29/2023 12:00:00 AM,INCENDIO FORESTAL,GUEPSA,0,0,0,0,0,0,0,2,N/A,N/A,0,0,"El CMGRD reporta la atención de un incendio forestal en la finca San Antonio vereda Isidro, atendido por  la comunidad y apoyo del cuerpo de bomberos de Vélez, afectación de 2 hectáreas de cultivo de caña de azúcar, causas desconocidas, estado liquidado"
8,01/31/2023 12:00:00 AM,INCENDIO FORESTAL,CERRITO,0,0,0,0,0,0,0,10,N/A,N/A,0,0,"El comandante de bomberos reporta la atención de un incendio forestal en la vereda Boyagá sector la Paja, se realizan labores de control apoyados por la defensa civil y la comunidad. Afectación de 10 hectáreas de vegetación nativa de páramo. Estado liquidado"
9,01/31/2023 12:00:00 AM,INCENDIO FORESTAL,CONTRATACION,0,0,0,0,0,0,0,2,N/A,N/A,0,0,"El CMGRD reporta la atención y control de un incendio forestal en la vereda el Tigre, atendido por la policía nacional y el CMGRD afectación de 2 hectáreas de pastizales y vegetación nativa. Estado liquidado."
10,02/01/2023 12:00:00 AM,INCENDIO FORESTAL,CURITI,0,0,0,0,0,0,0,6,N/A,N/A,0,0,"El CMGRD reporta la atención y control de un incendio forestal en el sector Las Juntas atendido por el cuerpo de bomberos voluntarios de Curití, apoyados por bomberos de San Gil, Valle de San José y el Páramo afectación de 6 hectáreas de pastizales y cultivo de maíz, estado LIQUIDADO"
11,02/01/2023 12:00:00 AM,INCENDIO FORESTAL,CARCASI,0,0,0,0,0,0,0,40,N/A,N/A,0,0,"El CMGRD reporta la atención y control de un incendio forestal en límites con el municipio de Chiscas (Boyacá) atendido por el cuerpo de bomberos voluntarios de Carcasí, apoyados por la comunidad de los dos municipios afectación de 40 hectáreas de pastizales y vegetación nativa de páramos, estado LIQUIDADO."
12,02/01/2023 12:00:00 AM,INCENDIO FORESTAL,CIMITARRA,0,0,0,0,0,0,0,2,N/A,N/A,0,0,"El CMGRD reporta la atención y control de un incendio forestal en el sector del cruce hacia la ruta el Sol atendido por el cuerpo de bomberos voluntarios de Cimitarra, afectación de 2 hectáreas de pastizales, estado LIQUIDADO"
13,02/02/2023 12:00:00 AM,INCENDIO FORESTAL,GAMBITA,0,0,0,0,0,0,0,6,N/A,N/A,0,0,"El CMGRD reporta la atención de un incendio forestal en la vereda Guausa, se realizan labores de control por la policía nacional, defensa civil y comunidad, causas posible quema controlada, se aplica el comparendo ambiental, afectación de 6 hectáreas de bosque nativo y pastizales."
14,02/04/2023 12:00:00 AM,INCENDIO FORESTAL,LOS SANTOS,0,0,0,0,0,0,0,5,N/A,N/A,0,0,"El cuerpo de Bomberos de los Santos reporta la atención de un incendio forestal en la vereda San Rafael sector mirador de Panachi, se realizan labores de control a la hora se encuentra en seguimiento y monitoreo."
15,02/06/2023 12:00:00 AM,INCENDIO FORESTAL,FLORIDABLANCA,0,0,0,0,0,0,0,4,N/A,N/A,0,0,"El cuerpo de Bomberos de Floridablanca reporta la atención de un incendio forestal en el sector Ruitoque Alto, afectación de 4 hectáreas de helechos y vegetación nativa, estado liquidado."
